number,category,title,has_image,comment_count,date,view_count,link,board,content,image_count
1051381,잡담,무신사 30프로 쿠폰 아워글래스 적용되는지 봐줄수있어?,False,2,26.07.14,310,https://theqoo.net/beauty/4278958552?page=17,beauty,하이라이터 인캔 사려고 하는데,0
1051361,잡담,무신사 30퍼 쿠폰 리스키랑 나스도 적용돼?,False,5,26.07.14,417,https://theqoo.net/beauty/4278846565?page=18,beauty,"이거 많이 빡세? 오늘 살짝 늦은거 같은데 실패해서ㅜ
적용 안되면 걍 사려고ㅜ",0
1051235,잡담,무신사 나스 팝업에 최산 옴,True,9,26.07.13,1468,https://theqoo.net/beauty/4278254696?page=24,beauty,"성수에서 나스 팝업하는데 최산 왔다갔는데
최산 보고
블러시 신상 구경도 하고
이벤트 참여해서 럭키드로우도 함..ㅎㅎ",6
1051148,잡담,무신사 후기가 진짜 까다롭다,False,3,26.07.13,605,https://theqoo.net/beauty/4277858259?page=29,beauty,올영이 제일 쉽고 직잭도 낫배드 아모레는 120자 넘는게 조금 귀찮긴 한데 쓰려면 씀 근데 무신사는 발색 없으면 무조건 빠꾸... 귀찮다ㅠ,0
1050928,잡담,무신사는 적립금기준 왤케빡빡한거지,False,3,26.07.12,487,https://theqoo.net/beauty/4276677527?page=40,beauty,"발색한거 올려도 빠꾸주네 ㅡㅡ
아 짜증나",0
1050781,잡담,무신사 박스 산거 오늘옴,True,4,26.07.11,1282,https://theqoo.net/beauty/4275846226?page=47,beauty,"무려 88만원짜리 부스터프로를 끼워주는 히어로박스가 되길 원했지만... 택배상자 받자마자 아님을 확신함 너무 가벼워서
근데 이 구성되서 ㄱㅇㄷ됨
가벼운 이유가 맥 덕분이었나봄 ㄱㅅㅎㄴㄷ...",1
1050650,잡담,에이블리에 플라워노즈 들어왔도라,False,1,26.07.10,338,https://theqoo.net/beauty/4275233293?page=53,beauty,"시코르도 들어왔던데..
마케팅 공격적이네
반응 좋은가봐?",0
1050631,잡담,직잭 에스쁘아 랜덤박스 뽑기 실패다,False,2,26.07.10,515,https://theqoo.net/beauty/4275127078?page=54,beauty,"D구입했거든 후기보니까 이게 볼륨밤일 거 같아서
근데 문릿 옴 ㅜㅜ
문릿 당근행이다",0
1050629,잡담,에이블리 t1콜라보 리스트 떴는데 한정컬러들 이쁘긴하네..,True,7,26.07.10,1198,https://theqoo.net/beauty/4275114792?page=55,beauty,"네이밍에 없던 컬러라 좀 탐나긴함....
아무리봐도 화장품 굿즈라 재고 남아서 나중에 떨이할거같기도하고
개큰 고민",3
1050403,잡담,ㅇㅂㅌ 무신사 결제할 때 뭐 써?,False,4,26.07.09,427,https://theqoo.net/beauty/4273672859?page=66,beauty,"오늘 무신사 가입했는데 경유적립이나 결제혜택 하나도 몰라서...
혹시 결제할 때 뭐 좋은 거 없을까?",0
1050389,잡담,무신사 11시에 뿌리는 30퍼 쿠폰 오프라 적용가능해?,False,2,26.07.09,523,https://theqoo.net/beauty/4273587188?page=67,beauty,아오디 사고싶은데 되면 낼 쿠폰받아서 사게...ㅠㅠ,0
1050350,잡담,무신사 랜박 10초 안에 결제 했는데도 품절이면,False,1,26.07.09,437,https://theqoo.net/beauty/4273354996?page=68,beauty,대체 수량을 몇개 준비한겨,0
1050346,잡담,에라이 무신사 랜박 품절,False,0,26.07.09,124,https://theqoo.net/beauty/4273349517?page=69,beauty,샤갈진짜,0
1050303,잡담,직잭 쁘아 랜덤박스 산 사람들 뭐 나왔어?,False,4,26.07.09,833,https://theqoo.net/beauty/4273062163?page=71,beauty,"슈가로즈있어서 그것만빼고 다 좋다 싶었는데
슈가로즈 옴
이런 운빨이 또 있네
나는 E샀어ㅋㅋㅋㅋㅋㅋㅋㅋ
완전 랜덤 아니고 뭔가 정해진게 있나봐
후기보니까 B는 프로즌인거같고
H 처음에 샀는데 볼륨밤 품절이라고 취소시켜서 이해안갔어
걍 있는거 아무꺼나 보내주면 되는거 아닌가?했거든",0
1050186,스퀘어,무신사 뷰티 랜덤박스 (내일오픈),True,3,26.07.08,1894,https://theqoo.net/beauty/4272290573?page=77,beauty,"https://www.musinsa.com/products/6715618
지금은 옵션에 안뜨는데
메이크업박스, 스킨케어박스 선택할수있나봐 ABC 랜덤발송이고
운좋으면 히어로박스 받을수있는듯? 기본박스도 구성 괜찮은거같옹",3
1049822,잡담,헐 무신사 뷰티 원래 쿠폰 많이줘?,True,11,26.07.06,1919,https://theqoo.net/beauty/4270314446?page=95,beauty,"이번에 무신사뷰티에서 쿠폰 주는거 다 적용하니까
투쿨포스쿨 섀도우 팔레트 올영이랑 7천원 차이남 ㅁㅊ
올영 굿즈 기획 이런거 아니면 가격 비교 필수인듯",1
1049710,잡담,(ㅈㅍㅁㅇ) 지난번에 직잭 팁토우 라방 구매왕 됐다고 글쓴 덬인데,True,21,26.07.06,2005,https://theqoo.net/beauty/4269740547?page=100,beauty,"왔엉
나 이런 시딩키트 첨 받아봐 ㅋㅋㅋㅋㄲㅋ
불도 들어오더라 ㅜㅜ 대박 미친.
여닫이부분은 자석도 되어있더라.
저걸 어떻게 버리니... 못버릴 듯 ㅜㅋㅋㅋㅋㅋㅋ
쨔란!
팔레트 드볼했는데
팔레트 드볼을 선물받음
원뿔원인가 .... ㅋㅋㅋㅋㄱㅋㄲㅋ",3
