number,category,title,has_image,comment_count,date,view_count,link,board,content,image_count
1049709,잡담,(ㅈㅍㅁㅇ) 지난번에 직잭 팁토우 라방 구매왕 됐다고 글쓴 덬인데,True,21,26.07.06,2005,https://theqoo.net/beauty/4269740547?page=101,beauty,"왔엉
나 이런 시딩키트 첨 받아봐 ㅋㅋㅋㅋㄲㅋ
불도 들어오더라 ㅜㅜ 대박 미친.
여닫이부분은 자석도 되어있더라.
저걸 어떻게 버리니... 못버릴 듯 ㅜㅋㅋㅋㅋㅋㅋ
쨔란!
팔레트 드볼했는데
팔레트 드볼을 선물받음
원뿔원인가 .... ㅋㅋㅋㅋㄱㅋㄲㅋ",3
1049671,잡담,루미르 문릿모브 직잭에 바로 풀렸네ㅡㅡ,False,0,26.07.06,305,https://theqoo.net/beauty/4269603374?page=103,beauty,아직 발색도 안 해봤는데༼;´༎ຶ ۝ ༎ຶ༽,0
1049652,잡담,직잭 토니모리 취소엔딩,False,0,26.07.06,336,https://theqoo.net/beauty/4269544005?page=104,beauty,ㅠㅠ,0
1048671,잡담,직잭추천점!,False,1,26.07.01,240,https://theqoo.net/beauty/4264435401?page=153,beauty,만원정도 포인트있는데 뭐 살까 ㅠㅠ 포인트에러땜에 막날에 못털고 고민중이던거 다 가격올라서,0
1048248,잡담,헉...나 직잭 팁토우 라방 구매왕 됐대 ! ㅋㅋㅋㅋㅋㅋㅋ,False,16,26.06.30,2181,https://theqoo.net/beauty/4262676256?page=174,beauty,"[Web발신]
안녕하세요, 팁토우입니다.
먼저, 6월 18일 오후 9시에 진행된 지그재그 단독 라이브 방송에 함께해 주시고 팁토우 제품을 구매해 주셔서 진심으로 감사드립니다.
고객님께서 이번 라이브 방송 구매왕으로 선정되어 안내드립니다! ????
구매왕 선물로 아래 상품을 보내드릴 예정입니다.
선물: 위시 터치 아이 팔레트 전 컬러 세트
출고 예정일: 6월 30일(화)
앞으로도 팁토우에 많은 관심과 사랑 부탁드리며, 준비한 선물도 즐겁게 사용해 주시면 감사하겠습니다.
오늘도 행복하고 기분 좋은 하루 보내세요.
감사합니다.
이런문자 받아썽 !!
아니..근데...저기요.......
저 라방 때 팔레트 드볼했는디......ㅜㅜ
구매내역 보고 구매왕 해주신거면.. 블러셔같은거 보내주시면 안되나요ㅜㅜ",0
1048212,잡담,직잭 짱나 ㅠㅠ 포인트 안돌아 와서 기다리다 못삼 ㅠㅠ,False,2,26.06.30,523,https://theqoo.net/beauty/4262384201?page=176,beauty,사려던거 가격 올랐어 ㅜㅜ,0
1048205,잡담,직잭에 어바웃톤 컨실블러셔 신상컬러 언제 들어올까,False,0,26.06.30,154,https://theqoo.net/beauty/4262342122?page=176,beauty,"포인트로 이거 사고싶었는데 안들어와서 못삼,,",0
1048203,잡담,아 직잭 50퍼쿠폰 쓰려고 했는데 ㅠ,True,4,26.06.29,1268,https://theqoo.net/beauty/4262328850?page=176,beauty,"포인트 안 들어와서 망했...
저거 들어오려나ㅠ 걍 무통걸어놔볼까?
༼;´༎ຶ ۝༎ຶ`༽ 이런 오류는 또 처음이네",1
1048201,잡담,ㅇㅂㅂ 덬들아 직잭 예상최저가랑 다르게 뜨는건 이유가머야,True,3,26.06.29,554,https://theqoo.net/beauty/4262316948?page=176,beauty,"화장품은 최근에 ㄴㅁ 많이사서 걍 옷살라는데 쿠폰 다 받아도 최저가랑 다르게뜸 머지..
쿠폰만 먹여도 최저가도전 저 옆이랑 똑같이 떠야되는거아냐? 예상 최저가는 마일리지까지 포함이고..",3
1048197,잡담,직잭포인트 무통장 연장해도 오늘까지 다 만료야?,False,4,26.06.29,397,https://theqoo.net/beauty/4262295360?page=176,beauty,다들 오늘 털려는거같길래,0
