number,category,title,has_image,comment_count,date,view_count,link,board,content,image_count
1051324,잡담,라네즈 립마스크 맛 제일 좋은게 뭐야,FALSE,4,26.07.13,104,https://theqoo.net/beauty/4277570397?page=1,beauty,애플망고 베리 이제 지겨워 신상맛으로 사고싶어,0
1051323,잡담,넘버즈인 1번 클오 3번클오 비플레인 클오 중에 괜찮은거 알랴주라,FALSE,0,26.07.13,26,https://theqoo.net/beauty/4277569598?page=1,beauty,셋중에 하나사고싶은데 뭐가 좋을까 참고로 수부지 피부임,0
1051322,잡담,낮잠치즈11 코랄스튜디오22,FALSE,0,26.07.13,73,https://theqoo.net/beauty/4277551352?page=1,beauty,"갈딥+붕세권 흰끼 돌아서 잘 못 씀
새로운 팔레트로 1122중에 뭐가 더 맞을까",0
1051321,잡담,고급스런 프루티향..? 트와이스 알콜프리 st의 향 추천해주라ㅋㅋㅋ,FALSE,0,26.07.13,88,https://theqoo.net/beauty/4277546138?page=1,beauty,헤어퍼퓸 헤어오일 바디제품 미스트 등등 종류눈 상관옶어,0
1051320,★이벤트후기★,☀️ 마데카 선쉴드 패드 후기 ☀️,TRUE,0,26.07.13,43,https://theqoo.net/beauty/4277544515?page=1,beauty,"이벤트로 마데카 선쉴드 패드에 당첨됐어!
그동안 수많은 선크림 유목민으로 살아왔는데 패드형태로 된 선크림은 처음이라 꼭 써보고 싶었거든
한박스에 5개나 들어있는데 그 안에 4장씩 있어서 총 20장이라 혜자로운 양 ദ്ദി(⸝⸝ʚ̴̶̷ ᴗ ʚ̴̶̷⸝⸝~) (~⸝⸝ʚ̴̶̷ ᴗ ʚ̴̶̷⸝⸝)ദ്ദി
(정수리를 닦자는 안써봤는데 급한날 쓰기위해 아껴둠ㅎ)
상당히 큰편의 패드가 총 4장 들어있고 1장만 써도 얼굴+목+팔까지 다 커버되는 넉넉한 양이야! 다리는 여름에도 긴바지파라 안발라봤는데 잘하면 커버 될 것 같아
아래는 얼굴에 바른 사진인데 피부만 크롭했어
바른 직후엔 헉 하긴하는데 잘 펴바르면 금방 사라짐!!
아주 약간의 번들거림이 있긴한데 내가 존나 지성피부임을 감안하면 이정도면 번들 수준도 아님!!!
딱히 뭐가 밀린다거나 눈이시렵다거나 하는 것도 없고 신경쓰이는 것 없이 괜찮았어 백탁도 전혀없고 마무리감도 좋았어
우선 발림성이 너무너무 편해서 나는 얼굴보다 목에 바르는걸 어려워하는 사람이었는데 목이랑 쇄골라인쪽 바르기에 예술임 옷입고도 바르기 쌉가능 ദ്ദി(⸝⸝ʚ̴̶̷ ᴗ ʚ̴̶̷⸝⸝~) (~⸝⸝ʚ̴̶̷ ᴗ ʚ̴̶̷⸝⸝)ദ്ദി
다 쓰고나면 바디용으로 내돈내산 구입할 것 같아
올해 여름 내내 사용해보고 자외선 차단효과가 좋다면 365일 바를듯...
동국제약으로부터 제품을 무상으로 지원받아 작성한 후기입니다.",6
1051319,잡담,미친 월요일 출근하기 싫어서 화장품 4개 사제낌 ㅋㅋㅋㅋㅋ,FALSE,0,26.07.13,105,https://theqoo.net/beauty/4277544194?page=1,beauty,"자빈드서울 아이프라이머 페일 코랄
딘토 컬러코렉터 레몬 운초
에뛰드 멀티실러
라몽 래쉬몬스터 밀라노 아이브로우",0
1051318,잡담,rmk 이 화보 이제 봤는데,TRUE,6,26.07.13,504,https://theqoo.net/beauty/4277542482?page=1,beauty,섀도우는 다 품절이고ㅠ 루미나이저는 색상이 여러개던데 어떤걸까 같이 추측이라도 해줘,1
1051317,잡담,W컨셉 오프라 이거 최대혜택가가 어떻게나와?,TRUE,3,26.07.13,285,https://theqoo.net/beauty/4277538306?page=1,beauty,아무리봐도 모르겠음 ㅜ,1
1051316,잡담,혹시 디올 유니버셜 리뉴얼버전 산 덬 있니 ㅜㅜ 리뉴얼버전 리뷰 구하기가 너무 힘들다,FALSE,0,26.07.13,99,https://theqoo.net/beauty/4277531975?page=1,beauty,브러쉬로 발색 잘 되는지 진짜 습식인지 잘 쓰고 있는지 등등 물어보고 싶은데 리뷰가 다 구버전만 있네 ㅠㅠㅠ 한줄평 간절하다,0
1051315,잡담,헤라 란제리 2개 면세에서 3.3인데 가격 괜찮아?,FALSE,4,26.07.13,287,https://theqoo.net/beauty/4277506094?page=1,beauty,거기에 브랜드뽑기 롯데 면세점 3만원 이상 4천원 나와서 개당 1.5만원 정도 나옴! 선물 받은 거 사용중이라 세일가 보통 얼마인지 모르겠어서 물어봄,0
1051314,★이벤트후기★,☀️동국제약 마데카 선쉴드 패드 후기☀️,TRUE,0,26.07.13,50,https://theqoo.net/beauty/4277503361?page=1,beauty,"처음보는 제품이 눈에 띄어 이벤트 신청을 했는데 선정되어서 놀랐어
아니 패드로 선케어를 한다고? 생각도 못해본 방식이라 소소한 충격과 획기적인 상품이라는 생각이 들더라
제품을 받았는데 정수리 관리 패드도 같이 들어있어서 또 놀람 감사합니다 동국제약!
아무튼 선쉴드 패드에 집중을 하자면 한 상자에 다섯 팩이 들어있고
한 팩에 네개의 패드가 있는데 선크림이 패드에 가득 함침되어 있는걸 눈으로 볼 수 있어
패드 앞뒤 모양이 달라 한쪽은 엠보싱이 좀더 있는 형태야 얼굴은 부드러운 면으로 바르고 다른 부위에는 엠보싱이 있는 면으로 발라주면 좋더라
손과 팔에 바른 사진인데 처음에 바르면 당연히 하얗게 보이고 기름진 느낌이 있어
그런데 흡수되게 살살 문질러주면 끈적이지 않고 어느 정도 뽀송하게 마무리 됨
출근이나 외출할 때 선제품 흡수되는 시간이 길게 느껴질때가 있잖아
그런데 동국제약 선쉴드 패드는 흡수되는 속도도 빠르고 기름지지 않아서 만족함
이렇게 간편하고 흡수력 좋은 제품을 체험해볼 수 있는 기회가 있어서 감사한 이벤트였어
* 동국제약으로부터 제품을 무상으로 지원받아 작성된 후기입니다.",10
1051313,잡담,헤라 실키파데 19n1 쓰는데 블쿠 21n1 사야하나??,FALSE,0,26.07.12,57,https://theqoo.net/beauty/4277490090?page=1,beauty,블쿠 17은 너무 밝으려나싶어서ㅠㅠ,0
1051312,잡담,픽서 에스쁘아랑 헤라 둘 다 써 본 덬 차이 커??,FALSE,1,26.07.12,143,https://theqoo.net/beauty/4277489920?page=1,beauty,"헤라 한 번 써보고 마음에 들어서 살말 고민중인데
에스쁘아가 일단 훨 싸니까 비슷하게 좋으면 이거 사려고ㅜㅜ 지갑 살려..",0
1051311,잡담,쿠팡에서 슷핀 초록통 만원에 삼ㅎㅎ,FALSE,2,26.07.12,366,https://theqoo.net/beauty/4277488105?page=1,beauty,일본가서 사와서 싹싹 긁어쓰고 재구매 했는데 일본에서 1600엔에 산거 만원에 사니까 득본것같아서 기분 좋아,0
1051310,잡담,화해 이제 포인트 연장 안되나부다,FALSE,2,26.07.12,184,https://theqoo.net/beauty/4277487827?page=1,beauty,2만포 넘게있는데 걍 버려야지... 클리오처럼 가끔 100퍼 사용 가능하게 해주면 얼마나 좋을까,0
1051309,잡담,다들 반값 뭐샀어?,FALSE,3,26.07.12,384,https://theqoo.net/beauty/4277478301?page=1,beauty,난 에스쁘아 말차비비,0
1051308,잡담,마데카21 미스트 토너+안개분사 샀는데 질문좀,FALSE,3,26.07.12,120,https://theqoo.net/beauty/4277469521?page=1,beauty,"이거 뿌리고 손으로 챱챱해 아니면 그냥 냅둬??
미스트 토넌느 첨이라 보통 어케 쓰는지 궁금해서 물어봐 미리 ㄱㅅㄱㅅ!",0
1051307,★이벤트후기★,🌞동국제약 마데카 선쉴드 패드 후기🌞,TRUE,0,26.07.12,50,https://theqoo.net/beauty/4277469369?page=1,beauty,"구성은 선쉴드 패드(4개입) 5매, 정수리를 닦자 1매로 구성되어 있었어!
일단 선쉴드 패드 먼저 써봄!
사이즈는 손등 딱 덮는 크기?!
선크림은 처음 바르는 것보다 밖에서 덧바르는 게 더 귀찮잖아
근디 이건 패드 타입이라 가방에 넣어 다니다가 필요할 때 바로 꺼내 쓰기 편했어
그리고 지퍼백 형식이라 한번에 다 쓸필요 없다는게 좋았고!
패드 하나로 팔 하나 바르니까 딱 적당한 것 같더라구 팔다리 하면 4매 딱 맞을 것 같아
엄청 촉촉하고 금방 스며드는 제형이야
얼굴에 문질러도 자극 없이 부드럽게 발리더라구
선크림 튜브 대신 가볍게 챙겨다닐 수 있어서 생각보다 편하더라ㅋㅋ 특히 목은 끈적이는 선크림 바르면 엄청 찝찝한데 가벼운 제형이라 좋았어!
사용감도 순한 편이라 괜찮았고, 시원한 느낌도 살짝 들어서 더운 날 쓰기 좋았어.
부피도 작아서 여행이나 운동 갈 때 하나 챙겨 다니기 딱 좋은 아이템인듯!
특히 내가 강추하는 사용법은 끈 원피스/나시같은 옷 입을 때야!!
끈 사이사이로 선크림을 발라야 되는데 선크림 묻을까봐 조심하게 되잖아 그럴때 옷 살짝 들어올리고 패드로 슥 닦으면 해결되니까 엄청 편하더라!!
또 좋다고 느낀게 보통 튜브로 짜서 바르면 등이나 몸쪽은 덜 발린 부분이 생기기도 하잖아? 근데 이건 얇게 펴발라지니까 덜 발리거나 하얗게 남는 부분이 거의 없더라! 패드가 지나간 부분만 몇번 문질러주면 되고 자연스럽게 흡수돼서 엄청 편하다고 느꼈어
여름철에 등이나 몸쪽 선크림 편하게 바르고 싶은 사람들에게 강추!
동국제약으로부터 제품을 무상으로 지원받아 작성된 후기입니다.",5
1051306,★이벤트후기★,동국제약 마데카 선쉴드 패드후기,TRUE,0,26.07.12,50,https://theqoo.net/beauty/4277463554?page=1,beauty,"- 동국제약으로부터 제품을 무상으로 지원받아 작성된 후기입니다 -
선패드라는게 어떨까 궁금했는데 좋은 기회로 써보게 됐어!
한 박스안에 5팩이 들어있고 한팩에는 4장의 패드가 들어있음
지퍼백을 열어보면 촉촉한 패드가 들어있어
4장 한번에 다 쓰지 못할 수도 있는데
지퍼백이라 남은 패드 보관하기에도 좋음!
패드는 생각보다 촉촉하고 크기도 커서
시원시원하게 발라지는 편이야
촉촉해서 발림성도 좋고 패드 크기가 커서
발라지는 면적이 넓다보니까
얼굴아니라 몸에 바르기에도 편할 것같아
팔에 한번 발라봤는데 너무 촉촉하지 않나?싶은정도로
진짜 촉촉함 그 자체!
근데 여러번 발라서 마무리해주면 수분감있게 흡수되는 느낌이야
완전히 흡수시키면 자연스럽게 광이 돌면서 끈적임이랑 백탁없이 자연스럽게 마무리되서 너무 좋았어!
가방안에서도 부피 차지하지않고 무게감없이 소지할 수 있는것도 매력적인것 같아!
여름 휴가철에 쟁여두기 딱인 아이템일 것 같음!!!",5
1051305,잡담,수분 관련된 성분은 히알루론산이 갑이야?,FALSE,0,26.07.12,76,https://theqoo.net/beauty/4277463007?page=1,beauty,딱 수분감만 보면 어떤 성분으로 제품 찾아야돼??,0
