post_number,post_link,board,content,date
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,불 들오는거 멋지다,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,다른걸로 보내줬음 더 좋았을텐데..,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,아... 다른 걸로 보내주지 센스 없네,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,별개로 키트는 예뿌다 축하해~~,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,그르게 다른거 줬으면 더좋았을거같긴한데.. 이미 키트로 만들어놓은걸 주는거라 쩔수였나,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,너무 예쁘다 케이스는 보관하고 팔레트는 번장하자,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,와 멋있당,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,우와 예쁘다,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,"이쁘긴 진짜 이쁘다 ㅋㅋㅋㅋ팔레트는,,,당근,,,?ㅠㅠㅋㅋㅋㅋ",26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,와 이쁘당!!,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,너무이쁘다,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,와 갖고싶어,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,와 너무 예쁜데 좀 아쉽긴 하다ㅋㅋㅋ,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,오 안에 내용물 빼고 거울 넣어서 조명 화장대 거울처럼 써두 되겠다,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,예쁘다,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,케이스가 정성스럽다,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,덜쓰는 템은 번장에 올려도 괜찮겠다,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,이쁘다이뻐 당근해~ ㅎㅎ,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,조만간 팔레트는 두어개 정도 나눔하러 올게 ㅋㅋㅋㅋㅋ,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,시딩키트예쁘긴하다,26.07.06
1049709,https://theqoo.net/beauty/4269740547?page=101,beauty,와 예쁜데,26.07.06
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,아니 저긔요 ㅠㅠㅋㅋㅋㅋ,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,ㅠㅠㅋㅋㅋ,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,와 ㅊㅋㅊㅋ!!!!!,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,웃프닼ㅋㅋㅋㅋㅋ 원덬 블러셔 보내줘라,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,와우,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,문자 보내준 번호로 전화 한 번 해봐도 될까? ...  좀 그런가?ㅜㅜㅋㅋㅋㅋㅋㄲ,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,앜ㅋㅋㅋㅋㅋㅋㅋ,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,한번 문의해볼 수 있지 않을까...!!!,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,"삭제된 댓글입니다.
(삭제일시: 2026/06/30 11:34:56)",26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,선물 미리 정해져있던 거 아니면 ㅋㅋㅋ 문의라도 해봐 ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋ,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,전화해봤는데ㅜ 이 번호는 전원이 꺼져있거나 회신이 어쩌고 하면서 연결이 안된대 ㅋㅋㅋㅋㅋㅋㄱ,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,축하할 일인데 마냥 축하하기엔 원덬이의 뜻하지 않은 팔렛 부자엔딩이라 ㅏ아앗,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,팔레트 드볼했는데 또ㅋㅋㅋㅋ,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,ㅋㅋㅋㅋ당근하면되징,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,오 나 구매왕 처음 봐 ㅋㅋㅋ 팔레트만 드볼한거야? 보통 얼마치 사야 구매왕 되나 궁금했는데 ㅋㅋㅋ,26.06.30
1048248,https://theqoo.net/beauty/4262676256?page=174,beauty,그 구매왕 상품 자체가 팔레트드볼이라고 얘기했어서 그런 듯 ㅋㅋㅋ,26.06.30
1048671,https://theqoo.net/beauty/4264435401?page=153,beauty,루미르 블러셔,26.07.01
1048212,https://theqoo.net/beauty/4262384201?page=176,beauty,나도 ㅠㅠ......... 이제 직잭팟 끝나서 쿠폰도 못 먹임 쌰갈,26.06.30
1048212,https://theqoo.net/beauty/4262384201?page=176,beauty,@1  지금 들어왔는데 쿠폰이 안되니까 만원 넘게 비쌈 ㅠㅠ,26.06.30
1048203,https://theqoo.net/beauty/4262328850?page=176,beauty,나도 첨 당첨됐는데 우째 이런일이..,26.06.29
1048203,https://theqoo.net/beauty/4262328850?page=176,beauty,@1 덬도 못 쓰고 있어? ㅋㅋㅋㅋㅋ 나 일단 무통 걸어놓음ㅠ,26.06.29
1048203,https://theqoo.net/beauty/4262328850?page=176,beauty,@2 쿠폰 돌아왔다 야호-!,26.06.30
1048203,https://theqoo.net/beauty/4262328850?page=176,beauty,@3 꺄아아아아아아 나두 들어왓다 다행,26.06.30
1048201,https://theqoo.net/beauty/4262316948?page=176,beauty,옵션에 따라 가격다른게있음,26.06.29
1048201,https://theqoo.net/beauty/4262316948?page=176,beauty,@1 아 ㅁㅊ 진짜네 긴팔도 있었네 ㅋㅋㅋㅋㅋ 긴팔이 싼거였어ㅠㅠㅠ ㄱㅅㄱㅅ,26.06.29
1048201,https://theqoo.net/beauty/4262316948?page=176,beauty,나도 저거에 낚여서 한참 머리싸맸다가 개빡쳤음,26.06.29
1048197,https://theqoo.net/beauty/4262295360?page=176,beauty,사바사일껄? 3번 채운 사람들은 얼른 써야하고 아니면 좀 더 연장 가능하고... 직잭팟이 오늘 끝나서 가격이 어케 바뀔지 몰라서 다들 오늘 쓰려는거 아닐까?,26.06.29
1048197,https://theqoo.net/beauty/4262295360?page=176,beauty,ㅇㅎ 고마웡,26.06.29
1048197,https://theqoo.net/beauty/4262295360?page=176,beauty,쿠폰땜에 ㅠㅠ ㅋㅋㅋ,26.06.29
1048197,https://theqoo.net/beauty/4262295360?page=176,beauty,쿠펀땜에,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,아 왜 안들어오냐,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,ㄴㄷ ㅠㅠ,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,ㄱㄴㄲ,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,일처리 무슨일,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,오늘 사야할거있었는데ㅜㅠ,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,와 200포 뽑은것도 안들어옴 아직도,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,ㄹㅇ 하,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,@6 나도ㅋㅋ,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,난 들어옴,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,나듀,26.06.29
1048196,https://theqoo.net/beauty/4262290548?page=176,beauty,와 나 방금 취소하고 포인트 안 들어오길래 븉방 왓다가 이 글 봄.......... ㅋㅋ,26.06.29
1048187,https://theqoo.net/beauty/4262230890?page=177,beauty,난 아직이야 ㅜㅜ 혹시 언제쯤 알람떳었어?,26.06.29
1048187,https://theqoo.net/beauty/4262230890?page=177,beauty,@1 8시쯤인가? 정확힌 기억이안남ㅠ,26.06.29
1048187,https://theqoo.net/beauty/4262230890?page=177,beauty,나도 8시쯤 알람받고 들어갔는데 없다ㅠ,26.06.29
1048187,https://theqoo.net/beauty/4262230890?page=177,beauty,"삭제된 댓글입니다.
(삭제일시: 2026/07/01 21:26:20)",26.06.29
1048187,https://theqoo.net/beauty/4262230890?page=177,beauty,뽑기로 뽑은 200포 안들어온다ㅜㅋㅋㅋ,26.06.29
1048176,https://theqoo.net/beauty/4262167645?page=177,beauty,나 좀전애 들어왔더라 이제 슬슬 들어오나봄?,26.06.29
1048176,https://theqoo.net/beauty/4262167645?page=177,beauty,@1 헉 혹시 몇시쯤 취소햇엉?,26.06.29
1048176,https://theqoo.net/beauty/4262167645?page=177,beauty,그니까ㅜ 지금 취소해봤자 오늘 안돌아올 것 같아서 어케 해야될지,26.06.29
1048176,https://theqoo.net/beauty/4262167645?page=177,beauty,"원덬 어쩌고 있어?? 지금이라도 취소하면 자정 전에 들어올까?ㅠㅠ 나도 고민 중이야,,,",26.06.29
1048176,https://theqoo.net/beauty/4262167645?page=177,beauty,몇명은 돌아왓다고하는데 이것도 순차적이라서 ㅜㅜ 나는 아직도 안돌아왓어 ㅜㅜㅜㅋㅋ 내일로 포인트 미뤄버릴까도 고민인데 다들어떻게할거야?!,26.06.29
1048176,https://theqoo.net/beauty/4262167645?page=177,beauty,"나는 아직 취소도 못하는 중ㅋㅋ큐ㅠㅠ 진짜 순차적으로 들어오는 중인가?? 그럼 지금 취소해도 한시간 안에 못 받을 것 같은데,,",26.06.29
1048170,https://theqoo.net/beauty/4262152349?page=178,beauty,피크닉블랭킷,26.06.29
1048170,https://theqoo.net/beauty/4262152349?page=178,beauty,"삭제된 댓글입니다.
(삭제일시: 2026/07/01 21:26:20)",26.06.29
1048166,https://theqoo.net/beauty/4262126893?page=178,beauty,나는 구매포도 안주고 이것도 안주네 참나,26.06.29
1048166,https://theqoo.net/beauty/4262126893?page=178,beauty,오 나도 들어왔다,26.06.29
1048166,https://theqoo.net/beauty/4262126893?page=178,beauty,혹시 취소 포인트도 돌아왔어??,26.06.29
1048166,https://theqoo.net/beauty/4262126893?page=178,beauty,@3 취소는 안해서 몰루 어제 다 털어 썼어,26.06.29
1048166,https://theqoo.net/beauty/4262126893?page=178,beauty,난 이거 알림창만 뜨고 안들어와,26.06.29
1048166,https://theqoo.net/beauty/4262126893?page=178,beauty,나도네,26.06.29
1048166,https://theqoo.net/beauty/4262126893?page=178,beauty,난 왜 알림만 보내고 안주지..,26.06.29
1048166,https://theqoo.net/beauty/4262126893?page=178,beauty,난 알림창만 뜨고 왜 없지ㅜ,26.06.29
1048166,https://theqoo.net/beauty/4262126893?page=178,beauty,나도 알림창만 뜨고 안들어옴ㅠㅠ,26.06.29
1048159,https://theqoo.net/beauty/4262081978?page=178,beauty,쿠폰은 ㄴㄴ,26.06.29
1048159,https://theqoo.net/beauty/4262081978?page=178,beauty,어떤건 연장되고 어떤건 안되던데 무슨 기준인지는 정확히 모르겠어,26.06.29
1048159,https://theqoo.net/beauty/4262081978?page=178,beauty,"@2 아그래? 선착구매쿠폰 이런 거만 연장 안 되는 건가..
선착아니라 될 거 같기도 한데 아까살걸 ㅠㅜ",26.06.29
1048159,https://theqoo.net/beauty/4262081978?page=178,beauty,"https://img.theqoo.net/AqQAdz
찾아보니까 무제한 발급,선착순 사용 쿠폰만 연장 안된다고 써있긴 한데 직잭팟 쿠폰은 어떨지 모르겠네 오늘만 뷰티 30퍼 40퍼 쿠폰같은건 연장 됐었거든",26.06.29
1048159,https://theqoo.net/beauty/4262081978?page=178,beauty,@4 🥹🥹 고마워🫶,26.06.29
1048159,https://theqoo.net/beauty/4262081978?page=178,beauty,@4 직잭팟 뷰티 쿠폰은 연장된거야?! 지금 포인트 에러나서 내일까지 다시 포인트 연장해둘까하거든 ㅠㅠ,26.06.29
1048159,https://theqoo.net/beauty/4262081978?page=178,beauty,@6 오늘 주는 뷰티 30퍼 쿠폰은 무제한 발급 쿠폰이라 연장 안될것 같아,26.06.29
1048159,https://theqoo.net/beauty/4262081978?page=178,beauty,@7 ㅠㅠ슬푸다 ㅠㅠ 포인트 오늘 쿠폰이랑 털라햇는데 에러나거 포인트가 안돌아와,26.06.29
1048153,https://theqoo.net/beauty/4262007354?page=179,beauty,ㄴㄴ 아직도 안 들어옴 5시 취소한 사람도 아직 안 들어왔대,26.06.29
1048153,https://theqoo.net/beauty/4262007354?page=179,beauty,@1 헐 ㅜㅠ빨이 해결되야될텐데 ㅠ,26.06.29
1048153,https://theqoo.net/beauty/4262007354?page=179,beauty,나 여섯시쯤 취소했는데 아직임ㅠㅠ,26.06.29
1048153,https://theqoo.net/beauty/4262007354?page=179,beauty,난 천포줫다는데 안들어옴...,26.06.29
1048153,https://theqoo.net/beauty/4262007354?page=179,beauty,언제해결더ㅣ려나 ㅜㅠㅜㅜ 나도 계속 포인트 들어왔다고만 뜨고 안들어와 ㅜㅜ 취소한것도 안돌아고,26.06.29
1048153,https://theqoo.net/beauty/4262007354?page=179,beauty,나도 천포 준다는 알림떠서 들어가보니 암것두 없네;,26.06.29
1048153,https://theqoo.net/beauty/4262007354?page=179,beauty,@6 나도 톡왔는데 들어가보니 암것도 없다,26.06.29
1048153,https://theqoo.net/beauty/4262007354?page=179,beauty,혹시 포인트 들어온사람잇엉! ㅜㅠ??,26.06.29
1048142,https://theqoo.net/beauty/4261957203?page=179,beauty,난 쿠폰 뽑기에서 포인트 나왔는데 이것도 안 들어오네 ㅋㅋㅋㅋㅋ 서버가 진짜 유리인가봐,26.06.29
1048130,https://theqoo.net/beauty/4261893416?page=180,beauty,바로 들어오던데,26.06.29
1048130,https://theqoo.net/beauty/4261893416?page=180,beauty,"삭제된 댓글입니다.
(삭제일시: 2026/06/29 23:54:53)",26.06.29
1048130,https://theqoo.net/beauty/4261893416?page=180,beauty,@1 난 왜..ㅠㅠㅠ@2 오늘 안에 들어오겠지?ㅠㅠㅠㅠㅠ,26.06.29
1048130,https://theqoo.net/beauty/4261893416?page=180,beauty,"저번에 취소하고 40분 지나서 돌아온 적 있긴 한데
지금 쿠폰뽑기에서 나오는 포인트도 안 들어오는 거 보면 직잭 자체가 오류난듯",26.06.29
1047982,https://theqoo.net/beauty/4260988719?page=187,beauty,1111,26.06.28
1047982,https://theqoo.net/beauty/4260988719?page=187,beauty,나는 같은 상황에서 2 했어 0원이라ㅋㅋ,26.06.28
1047982,https://theqoo.net/beauty/4260988719?page=187,beauty,111,26.06.29
1047961,https://theqoo.net/beauty/4260890215?page=188,beauty,아싸~~~!,26.06.28
1047961,https://theqoo.net/beauty/4260890215?page=188,beauty,@1 야호-☆,26.06.28
1047894,https://theqoo.net/beauty/4260512595?page=192,beauty,와 포인트 그렇게 많앗어?! 뭐삿엉??,26.06.28
1047894,https://theqoo.net/beauty/4260512595?page=192,beauty,@1 나 직잭팟 포인트 다 받고 라이브 선착 만원쿠폰도 받고 이랬어서 ㅋㅋㅋ 바지랑 생필품 샀어 ㅋㅋ,26.06.28
1047894,https://theqoo.net/beauty/4260512595?page=192,beauty,와,26.06.28
1047891,https://theqoo.net/beauty/4260501389?page=192,beauty,나도 오늘 만원 드디어 받았네 휴,26.06.28
1047891,https://theqoo.net/beauty/4260501389?page=192,beauty,부럽다...,26.06.28
1047891,https://theqoo.net/beauty/4260501389?page=192,beauty,나도 만 후,26.06.28
1047891,https://theqoo.net/beauty/4260501389?page=192,beauty,나도 드디어 성공ㅠㅠ 시계 켜놓고 3초 되자마자 누르고 연타했는데 참여수가어쩌고 또 뜨길래 망했다 했는데 됨!,26.06.28
1047891,https://theqoo.net/beauty/4260501389?page=192,beauty,@1 @3 @4 ㅊㅋㅊㅋ!!! @2 내일 화이팅!!!,26.06.28
1047891,https://theqoo.net/beauty/4260501389?page=192,beauty,@5 내일은 없엉,26.06.28
1047891,https://theqoo.net/beauty/4260501389?page=192,beauty,"@6  https://img.theqoo.net/QnNpTB
내일도 하는거 아냐? 아닌가..",26.06.28
1047891,https://theqoo.net/beauty/4260501389?page=192,beauty,나도 드디어 성공ㅠㅠㅠㅠㅠ,26.06.28
1047888,https://theqoo.net/beauty/4260490656?page=192,beauty,그니까 나 1호 궁금해서 지금 고민중,26.06.28
1047888,https://theqoo.net/beauty/4260490656?page=192,beauty,@1 니티드 제일 궁금하고 튤이랑 허밍도 궁금해서 고민됨,26.06.28
1047717,https://theqoo.net/beauty/4259376453?page=200,beauty,부럽다,26.06.27
1047717,https://theqoo.net/beauty/4259376453?page=200,beauty,어디서 받아?,26.06.27
1047716,https://theqoo.net/beauty/4259373930?page=200,beauty,그니까,26.06.27
