post_number,post_link,board,content,date
1051381,https://theqoo.net/beauty/4278958552?page=17,beauty,선착순30퍼말하는거면 적용안됭,26.07.14
1051381,https://theqoo.net/beauty/4278958552?page=17,beauty,@1 까비 고마웡,26.07.14
1051361,https://theqoo.net/beauty/4278846565?page=18,beauty,제품마다 다른데 나스 되는거 있고 안되는거 있고 리스키는 섀도팔렛은 됨,26.07.14
1051361,https://theqoo.net/beauty/4278846565?page=18,beauty,"나아까 리스키 블러셔 산건데 이거 적용 된건가? 아닌가? 확인해봥
https://img.theqoo.net/ukEgpT",26.07.14
1051361,https://theqoo.net/beauty/4278846565?page=18,beauty,"@1 @2 나스는 리퀴드 블러셔 사고파서..
리스키 팔렛 된다니ㅜㅜ내일 다시 도전해봐야겠다 고마워",26.07.14
1051361,https://theqoo.net/beauty/4278846565?page=18,beauty,나스리퀴드돼! 내일성공하길,26.07.14
1051361,https://theqoo.net/beauty/4278846565?page=18,beauty,@4 고마워! 덬도 시원한 하루 보내고 좋은 일만 있기를!,26.07.14
1051148,https://theqoo.net/beauty/4277858259?page=29,beauty,근데 이게 맞는듯ㅋㅋ,26.07.13
1051148,https://theqoo.net/beauty/4277858259?page=29,beauty,"그래서 무신사 아예 쇼핑을 안하게 됨
소비자만 불편",26.07.13
1051148,https://theqoo.net/beauty/4277858259?page=29,beauty,아모레 후기가 진짜 최악이야 뜯지도 않고 후기쓰는 인간은 양호 사진도 공홈 캡쳐 아니면 나 무슨 먹다 남은 야쿠르트 찍은 사람도 봄,26.07.14
1050928,https://theqoo.net/beauty/4276677527?page=40,beauty,"삭제된 댓글입니다.
(삭제일시: 2026/07/12 10:36:01)",26.07.12
1050928,https://theqoo.net/beauty/4276677527?page=40,beauty,미텼음,26.07.12
1050928,https://theqoo.net/beauty/4276677527?page=40,beauty,그놈의 적립금 몇퍼 쓰지도 못하게 하면서,26.07.12
1051235,https://theqoo.net/beauty/4278254696?page=24,beauty,되게 사자보이즈미 있게 나왔다,26.07.13
1051235,https://theqoo.net/beauty/4278254696?page=24,beauty,와 실물어때,26.07.13
1051235,https://theqoo.net/beauty/4278254696?page=24,beauty,럭드 뭐나왔어?,26.07.13
1051235,https://theqoo.net/beauty/4278254696?page=24,beauty,@1 사자보이즈미 ㅋㅋㅋㅋㅋ,26.07.13
1051235,https://theqoo.net/beauty/4278254696?page=24,beauty,남부대공,26.07.13
1051235,https://theqoo.net/beauty/4278254696?page=24,beauty,오,26.07.13
1051235,https://theqoo.net/beauty/4278254696?page=24,beauty,몸매 미쳤다,26.07.13
1051235,https://theqoo.net/beauty/4278254696?page=24,beauty,잘어울려,26.07.13
1051235,https://theqoo.net/beauty/4278254696?page=24,beauty,"와 부럽다
신상 발림성은 어때??",26.07.13
1050781,https://theqoo.net/beauty/4275846226?page=47,beauty,대체 어케 산거임 개부럽다...,26.07.11
1050781,https://theqoo.net/beauty/4275846226?page=47,beauty,@1 나 진짜 손느린데 무신사는 무신사페이 등록하면 빠름 비번도 안누르고 지문으로 결제한듯..?,26.07.11
1050781,https://theqoo.net/beauty/4275846226?page=47,beauty,오오 대박,26.07.11
1050781,https://theqoo.net/beauty/4275846226?page=47,beauty,이걸 사다니 대박 바로 품절떠서 과연 누가삿나 햇는데!,26.07.11
1050650,https://theqoo.net/beauty/4275233293?page=53,beauty,케이스가 사기ㅋㅋ,26.07.10
1050631,https://theqoo.net/beauty/4275127078?page=54,beauty,볼륨밤 H 였는데 품절이라면서 취소행,26.07.10
1050631,https://theqoo.net/beauty/4275127078?page=54,beauty,@1 허어어얼,26.07.10
1050403,https://theqoo.net/beauty/4273672859?page=66,beauty,토스페이.. 무신사 지그재그 다 토스페이로 함,26.07.09
1050403,https://theqoo.net/beauty/4273672859?page=66,beauty,난 지그재그는 카카오로 하고 무신사는 토스,26.07.09
1050403,https://theqoo.net/beauty/4273672859?page=66,beauty,혜택이 있어서 하는건 아니고 토스 포인트 쓰려고 토스페이,26.07.09
1050403,https://theqoo.net/beauty/4273672859?page=66,beauty,@1 @2 @3  답변 고마워!,26.07.09
1050629,https://theqoo.net/beauty/4275114792?page=55,beauty,팔레트 개이쁘네 존버해야지,26.07.10
1050629,https://theqoo.net/beauty/4275114792?page=55,beauty,우와 이쁘다,26.07.10
1050629,https://theqoo.net/beauty/4275114792?page=55,beauty,팔레트 개예뻐,26.07.10
1050629,https://theqoo.net/beauty/4275114792?page=55,beauty,팔레트 진짜 이쁘다 콜라보버전 아닌걸로도 나올까?,26.07.10
1050629,https://theqoo.net/beauty/4275114792?page=55,beauty,팔레트만 안팔려나ㅠㅠ,26.07.10
1050629,https://theqoo.net/beauty/4275114792?page=55,beauty,난 타팀 응원해서 누름ㅜㅜㅋㅋ,26.07.10
1050629,https://theqoo.net/beauty/4275114792?page=55,beauty,팔레트 존버,26.07.10
1050389,https://theqoo.net/beauty/4273587188?page=67,beauty,ㅇㅇ 가능해,26.07.09
1050389,https://theqoo.net/beauty/4273587188?page=67,beauty,@1 고마워!!,26.07.09
1050350,https://theqoo.net/beauty/4273354996?page=68,beauty,"삭제된 댓글입니다.
(삭제일시: 2026/07/12 12:04:20)",26.07.09
1050186,https://theqoo.net/beauty/4272290573?page=77,beauty,오 대박,26.07.08
1050186,https://theqoo.net/beauty/4272290573?page=77,beauty,대박,26.07.08
1050186,https://theqoo.net/beauty/4272290573?page=77,beauty,오,26.07.08
1050303,https://theqoo.net/beauty/4273062163?page=71,beauty,헐 그런게 있었구나ㅜㅜ 몰랐어,26.07.09
1050303,https://theqoo.net/beauty/4273062163?page=71,beauty,@1 아직 팔긴해 5900원,26.07.09
1050303,https://theqoo.net/beauty/4273062163?page=71,beauty,제가 D를 구매해보았습니다! 과연,26.07.09
1050303,https://theqoo.net/beauty/4273062163?page=71,beauty,쁘아도 있구나 나는 투크 샀는데 여기도 정해져있는듯,26.07.09
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,ㅇㅇ 엥간하면 직잭 무신사 에이블리 이쪽이 훨씬 싸 코덕인데 올영 등급 핑크임ㅋ....,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,@1 ㅁㅈ.....올영이 젤 싼줄 알았던 나 자신 반성해,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,지금 뷰티위크라서 아침11시에 30프로 선착순쿠폰줘 내일도전해봐,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,올영은 마음에 드는 기획 있을때나 사는거지...,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,@3 헐 ㅁㅊ 그런 것도 있어??? 알람 맞춰놔야겠다 고마워!!,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,여기 다른 곳에서 사느라 올영 등급은 낮은 덬들 많음ㅋㅋ,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,올영이 제일 비싸!,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,@4 ㅇㅇㅇ 완전 공감 앞으로 걍 무조건 비교할라고,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,@6 나만 몰랐나봐 ㅋㅋㅋㅋㅋ 이제라도 알아서 다행이다... 내 지갑 절대 지켜..,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,@7 ㄱㄴㄲ.. 이번에 절실히 느낌ㅇㅇ..,26.07.06
1049822,https://theqoo.net/beauty/4270314446?page=95,beauty,웅 당연함 지그재그 무신사 에이블리가 훨싸,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,불 들오는거 멋지다,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,다른걸로 보내줬음 더 좋았을텐데..,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,아... 다른 걸로 보내주지 센스 없네,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,별개로 키트는 예뿌다 축하해~~,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,그르게 다른거 줬으면 더좋았을거같긴한데.. 이미 키트로 만들어놓은걸 주는거라 쩔수였나,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,너무 예쁘다 케이스는 보관하고 팔레트는 번장하자,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,와 멋있당,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,우와 예쁘다,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,"이쁘긴 진짜 이쁘다 ㅋㅋㅋㅋ팔레트는,,,당근,,,?ㅠㅠㅋㅋㅋㅋ",26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,와 이쁘당!!,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,너무이쁘다,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,와 갖고싶어,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,와 너무 예쁜데 좀 아쉽긴 하다ㅋㅋㅋ,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,오 안에 내용물 빼고 거울 넣어서 조명 화장대 거울처럼 써두 되겠다,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,예쁘다,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,케이스가 정성스럽다,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,덜쓰는 템은 번장에 올려도 괜찮겠다,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,이쁘다이뻐 당근해~ ㅎㅎ,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,조만간 팔레트는 두어개 정도 나눔하러 올게 ㅋㅋㅋㅋㅋ,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,시딩키트예쁘긴하다,26.07.06
1049710,https://theqoo.net/beauty/4269740547?page=100,beauty,와 예쁜데,26.07.06
