number,category,title,has_image,comment_count,date,view_count,link,board,content,image_count
1051397,잡담,무신사 30프로 쿠폰 아워글래스 적용되는지 봐줄수있어?,False,2,26.07.14,306,https://theqoo.net/beauty/4278958552?page=14,beauty,하이라이터 인캔 사려고 하는데,0
1051377,잡담,무신사 30퍼 쿠폰 리스키랑 나스도 적용돼?,False,5,26.07.14,411,https://theqoo.net/beauty/4278846565?page=15,beauty,"이거 많이 빡세? 오늘 살짝 늦은거 같은데 실패해서ㅜ
적용 안되면 걍 사려고ㅜ",0
1051251,잡담,무신사 나스 팝업에 최산 옴,True,9,26.07.13,1446,https://theqoo.net/beauty/4278254696?page=21,beauty,"성수에서 나스 팝업하는데 최산 왔다갔는데
최산 보고
블러시 신상 구경도 하고
이벤트 참여해서 럭키드로우도 함..ㅎㅎ",6
1051163,잡담,무신사 후기가 진짜 까다롭다,False,3,26.07.13,599,https://theqoo.net/beauty/4277858259?page=26,beauty,올영이 제일 쉽고 직잭도 낫배드 아모레는 120자 넘는게 조금 귀찮긴 한데 쓰려면 씀 근데 무신사는 발색 없으면 무조건 빠꾸... 귀찮다ㅠ,0
1050943,잡담,무신사는 적립금기준 왤케빡빡한거지,False,3,26.07.12,485,https://theqoo.net/beauty/4276677527?page=37,beauty,"발색한거 올려도 빠꾸주네 ㅡㅡ
아 짜증나",0
1050796,잡담,무신사 박스 산거 오늘옴,True,4,26.07.11,1270,https://theqoo.net/beauty/4275846226?page=44,beauty,"무려 88만원짜리 부스터프로를 끼워주는 히어로박스가 되길 원했지만... 택배상자 받자마자 아님을 확신함 너무 가벼워서
근데 이 구성되서 ㄱㅇㄷ됨
가벼운 이유가 맥 덕분이었나봄 ㄱㅅㅎㄴㄷ...",1
