number,category,title,has_image,comment_count,date,view_count,link,board,content,image_count
1045705,잡담,직잭에서 이글립스 틴트 샀는데 소매넣기 해 줬네,True,0,26.06.18,515,https://theqoo.net/beauty/4248566994?page=301,beauty,직잭 5천포 받은 거랑 포인트팟으로 받은 거 합쳐서 이글립스 듀 글레이즈 틴트 샀는데 라일락 로 증정으로 왔당ㅋㅋ 아예 못 쓸 색일 줄 알았는데 생각보다 바를만 해서 잘 쓸 듯!! 900원의 행복..,1
1045638,잡담,직잭 뷰티 40퍼 쿠폰 존버할까?,False,0,26.06.18,169,https://theqoo.net/beauty/4248288736?page=305,beauty,직잭팟에 안주려나,0
1045629,잡담,무신사 20일에 30%쿠폰 줄까 안줄까,False,2,26.06.18,404,https://theqoo.net/beauty/4248236302?page=305,beauty,지난번에는 기다렸는데 안줬던거 같아서🤔,0
1045614,잡담,시미헤이즈뷰티 무신사에서 56퍼 할인중이야,True,6,26.06.18,1091,https://theqoo.net/beauty/4248162057?page=306,beauty,"전제품 40퍼 할인 중인데
25퍼 쿠폰 적용하면 최종적으로 56퍼 할인이라서 궁금했던 거 구매해 봤어",2
1045570,잡담,지그재그 왜 바로 취소가 안되지,False,6,26.06.17,702,https://theqoo.net/beauty/4247895104?page=308,beauty,쿠폰 빨리 돌아와야되는데ㅠㅠ,0
1045545,잡담,직잭에서 안사고 무신사에 리스키 플럭키 데님 2.2에 샀다,True,1,26.06.17,753,https://theqoo.net/beauty/4247667171?page=309,beauty,"토스페이 포인트 여기에 털었음ㅇㅇ
딤베리랑 고민하다가 블루 스모키하고싶어서",2
1045543,잡담,직잭 쿠폰포기하고 5천포준거로 필링기나 삼,False,0,26.06.17,243,https://theqoo.net/beauty/4247661889?page=309,beauty,저도 이제 블랙헤드와 이별(임시) 해보려고합니다,0
1045542,잡담,저녁 먹고 출첵 싹 돌고 유튜브 순회한 사이 직잭 99퍼가 지나갔군,False,0,26.06.17,152,https://theqoo.net/beauty/4247657341?page=309,beauty,"아쉬워하기에도 너무 늦게 알았다 ㅋㅋㅋㅋㅋㅋ
걍 포인트 가진 것만치만 털어야지",0
1045528,잡담,직잭 지금받은애들 다 한도 만원이지?,False,2,26.06.17,637,https://theqoo.net/beauty/4247602935?page=310,beauty,뭔가 걍 선착 안됐어도 발급이력 있으면 준건가 뭐지,0
1045522,잡담,직잭 99퍼 이제 들어옴,False,4,26.06.17,670,https://theqoo.net/beauty/4247585008?page=310,beauty,근데 사용기간 20일까지다?,0
1045519,잡담,직잭 99 쿠폰 1000명은 다 들어온게 맞아?,False,6,26.06.17,651,https://theqoo.net/beauty/4247576977?page=311,beauty,"발급 문제있다고 라이브 끝날 때까지 확인 중이더니 개별연락 갈거라는데 쿠폰함에 아직도 없네
이러다가 갑자기 늦게 들어와서 자정까지 써야될까봐 기다리고있는데 시간 너무 아깝다",0
1045509,잡담,하 씨 직잭 라이브에 다들 큼..재..쿠폰...재발급..이러넼ㅋㅋㅋ,False,3,26.06.17,714,https://theqoo.net/beauty/4247537123?page=311,beauty,개웃겨,0
1045508,잡담,헐 나 어제 직잭 포인트 쿠폰 알려줘서 4.4이치 2.6에 샀는데,False,0,26.06.17,368,https://theqoo.net/beauty/4247533228?page=311,beauty,빨리 지르길 잘했네...,0
1045507,잡담,지그재그는 항상 일처리가 뭔가뭔가임,False,2,26.06.17,602,https://theqoo.net/beauty/4247529932?page=311,beauty,저번에 밤 10시에 선착순으로 받아서 당일 자정 안으로 써야 하는 포인트도 있었는데 발급도 바로 안되길래 안된줄 알았는데 발급된게 뒤늦게 들어와서 날렸는데 좀 아쉬움... 시스템이 어쩔수 없는건지,0
1045502,잡담,아니 직잭 삼만원이상 만원쿠폰 고새 사라짐 ㅠㅠ,False,18,26.06.17,1598,https://theqoo.net/beauty/4247517921?page=311,beauty,아짜증나.. 방금까지만해도 됐는데 걍 바로살걸 ㅠ 21일까지라매 ㅜ,0
1045501,잡담,직잭 99퍼 발급됐다고 떠도 천명안에 안든거면,False,4,26.06.17,539,https://theqoo.net/beauty/4247513376?page=311,beauty,"발급안되나봄..ㅎ
일처리 쫌 별루다",0
1045498,잡담,직잭 99퍼도 38퍼도 안 들어오는데,False,6,26.06.17,432,https://theqoo.net/beauty/4247507285?page=312,beauty,"점점 끝까지 안 들어올 것 같은 느낌이 든다...
발급됐다면서요ㅜㅜ",0
1045497,잡담,직잭 99 끝이지??,False,1,26.06.17,192,https://theqoo.net/beauty/4247506832?page=312,beauty,깜박했다쿠ㅜㅜㅜ,0
1045496,잡담,직잭 99퍼 나만 실패했나,False,6,26.06.17,411,https://theqoo.net/beauty/4247501949?page=312,beauty,일부러 알람 맞추고 들어갔는데 어디 누르는건지 몰라서 뒤늦게 눌렀더니 소진.. 아직도 방송 켜 놓고 있긴한데 걍 끌까,0
1045493,잡담,직잭 99퍼 받았다,False,15,26.06.17,1600,https://theqoo.net/beauty/4247490320?page=312,beauty,의외로 쉽게 성공 ㅋㅋ,0
1045490,잡담,직잭 쿠폰 1시간 라이브에서 게릴라 오픈인가본데,False,3,26.06.17,383,https://theqoo.net/beauty/4247479984?page=312,beauty,1시간 기다려야하는데 그것마저 천명 선착순이면.. 난 자신이없더,0
1045475,잡담,지그재그 오늘 7시 라방에서 99퍼 쿠폰 뿌린대,True,4,26.06.17,1100,https://theqoo.net/beauty/4247419467?page=313,beauty,,2
1045473,잡담,직잭 이천 받았다,False,0,26.06.17,146,https://theqoo.net/beauty/4247409863?page=313,beauty,남은거 4천이랑 5백인데 내일 4천 성공하겄지,0
1045472,잡담,직잭 만포 성공했다ㅁㅊ,False,5,26.06.17,729,https://theqoo.net/beauty/4247409263?page=313,beauty,위시 사러간다ㅠㅜㅜㅜ,0
1045471,잡담,직잭 렉 심하다ㅜ,False,2,26.06.17,201,https://theqoo.net/beauty/4247407640?page=313,beauty,만포 언제 받을수잇는겨,0
1045456,잡담,지그재그 오천포 받은걸로 다들 뭐 샀니,False,21,26.06.17,1419,https://theqoo.net/beauty/4247328805?page=314,beauty,네이밍 페르소나 다 써서 그거 살까 고민즁,0
1045337,잡담,직잭 포인트 받은걸로 궁금했던 태연님 샤라웃 파데 사봄,False,5,26.06.17,448,https://theqoo.net/beauty/4246840020?page=320,beauty,물론 태연님은 뭘 발라도 예쁠 피부지만....클리오 베이스 한 8년전에 썼을때 안맞았었는데 최근에 써본 컨실러는 괜찮아섴ㅋㅋㅋㅋㅋㅋ과연 어떨 것인가...,0
1045301,잡담,뭐하다 시간을 놓쳤는데 직잭포인트 무통장말고 다른거 해도되나?,False,3,26.06.16,365,https://theqoo.net/beauty/4246659652?page=321,beauty,"은행 다 점검중이네ㅜ
걍 카드로 사고 12시 지나서 취소하면 되려나?ㅜ",0
1045298,잡담,직잭 토스 쿠폰 취소하면 날아가나?,False,2,26.06.16,460,https://theqoo.net/beauty/4246640159?page=322,beauty,아 주문 잘못했는디ㅋㅋㅋㅠㅠㅠㅠ,0
1045297,잡담,지그재그 취소해서 포인트 돌아오는거 말이야,False,2,26.06.16,606,https://theqoo.net/beauty/4246634623?page=322,beauty,"3번까지 가능하다고 알고 있는데 이게 총 전체 중에 3번인거야?
아님 한 주문건에서 3번이야?ㅠ
예전에 취소하거나 품절로 취소된 적 2번인가 3번 있어서 이걸 취소 해야되나 말아야하나 고민이네",0
1045261,잡담,직잭 5천 포인트 받아서 뭐 샀어?,False,10,26.06.16,813,https://theqoo.net/beauty/4246499782?page=323,beauty,자랑해주라! 참고하게☺️,0
1045245,잡담,직잭 살거 없어서 포인트 무통장 걸었는데 일단 연장만 ㅈㄴ 해두고 막날에 사도 ㄱㅊ겠지,False,1,26.06.16,275,https://theqoo.net/beauty/4246451890?page=324,beauty,아님 중간에 쿠폰 뜨는거 보고 토스랑 같이 사는게 젤 베스트인가??,0
1045238,잡담,지그재그에서 살수있는 지성용 파우더팩트 추전부탁해!,False,2,26.06.16,196,https://theqoo.net/beauty/4246419830?page=325,beauty,오천포 써서 살려구,0
1045218,잡담,무신사 딘토 블러셔 주문한 덬들은 언제 받았어?,False,5,26.06.16,234,https://theqoo.net/beauty/4246354310?page=326,beauty,제형을 모르겠어서 일단 2개만 시키고 맘에 들면 더 사려고 하는데 할인가 끝나기전에 올지를 모르겠네,0
1045195,잡담,딘토 그 무신사 딜 블러셔,True,2,26.06.16,1172,https://theqoo.net/beauty/4246281386?page=327,beauty,"뭔가 샤넬 느낌나면서 예쁘다....
거울도 있어... ㄹㅇ가성비 굿
블러셔 처음이라 다이소 거 사려고 고민했는데 딱 잘 왔다!!! .딜 올려준 덬 고마워",2
1045192,잡담,직잭 5천포 받고 다우니초코 삼,False,0,26.06.16,282,https://theqoo.net/beauty/4246271169?page=327,beauty,브라이트인간이 톤그로 위시템이 생기면 늘 이럴때를 노림,0
1045188,잡담,팁토우 팔레트 샀다 직잭에 들어왔네,False,7,26.06.16,629,https://theqoo.net/beauty/4246257345?page=327,beauty,오천포 쓰고 이것저것 써서 9천원에 구매했다><,0
1045179,잡담,직잭 세일기간에 뷰티40퍼 쿠폰 뿌리겠지?,False,4,26.06.16,915,https://theqoo.net/beauty/4246203018?page=328,beauty,일단 존버해볼까...,0
1045176,잡담,혹시 지그재그 부분취소하면 환불 어떻게 되는지 알아?,False,1,26.06.16,248,https://theqoo.net/beauty/4246196643?page=328,beauty,하나가 금요일 전까지 받아야 하는데 안 올 거 같아서 ㅜㅠ 쿠폰하고 포인트 먹인 거라 어떻게 환불될지 모르겠네,0
1045175,잡담,직잭 포인트팟 친구 많아야 가능한거즤?,False,4,26.06.16,851,https://theqoo.net/beauty/4246195267?page=328,beauty,친없덬 손가락빨게,0
1045173,잡담,직잭팟때마다 ㅈㄴ 마음 든든해짐,True,12,26.06.16,2047,https://theqoo.net/beauty/4246189899?page=328,beauty,개꿀 ㅁㅊ 뭐사지,1
