post_id,board,category,title,author,comment_count,view_count,like_count,created_date,has_image,image_count,post_url,search_keywords,search_boards,content
65020144,name,1,살거 딱히 생각안나는데 무신사 블프때 뭐라도 쟁여야할거같을땐 어떡하니 다들..,Unknown,4,75,0,2025-11-26 02:34,False,0,https://www.instiz.net/name/65020144,무신사,name,"ㅈㄱㄴ.. 막 사야겠다 싶은템 없음..
하지만 맘속에 품고잇는 애들은 잇긴한데
애매한마음으로 쟁이는게 맞나싶고..
다들 이럴때 어뜨케하닝"
65019782,name,1,무신사 카운트업 쿠폰 받은 사람 있어??,Unknown,1,52,0,2025-11-26 01:42,False,0,https://www.instiz.net/name/65019782,무신사,name,묶어서 사용 안되고 제품 한개에만 사용 가능한거 맞아??
65019341,name,1,이번 블프는 지그재그 보다 에이블리가 더 좋당,Unknown,0,40,0,2025-11-26 00:48,False,0,https://www.instiz.net/name/65019341,"에이블리,지그재그",name,내가 사려는거 기준ㅋㅋㅋㅋㅋ 최소 오천원은 차이나
65018938,name,1,지그재그 일반배송 배송준비중 상태에서 취소 돼?,Unknown,2,53,0,2025-11-26 00:03,False,0,https://www.instiz.net/name/65018938,지그재그,name,"아니 오늘 저녁 8시 넘어서 시켰는데.. 지굼 취소하려고 보니까 배송준비중이야ㅠ
배송준비중에선 바로 취소 안되는데 일단 취소요청했더니 26일 이내 취소완료 예정이라고는 뜨거든 ㅠㅠ
근데 이거 쇼핑몰에서 지금 송장 뽑고 보내고 있을리는 없자나… 혹여나 내일 그냥 승인해버리고 이미 송장 붙였다고 하진 않겠지;?"
65018906,name,1,에이블리에서 옷 사는 익들 왜 지그재그 에서 안사?,Unknown,17,498,0,2025-11-26 00:00,False,0,https://www.instiz.net/name/65018906,"에이블리,지그재그",name,지그재그에 없는 옷이 에이블리에 많아?? 잘 안써봐서 궁금해
65018886,name,1,무신사 결제직전인데 이거 살말????,Unknown,2,66,0,2025-11-25 23:57,True,1,https://www.instiz.net/name/65018886,무신사,name,살까말까
65018735,name,1,무신사 살말해주라!,Unknown,9,394,0,2025-11-25 23:41,True,4,https://www.instiz.net/name/65018735,무신사,name,"꾸꾸보단 독서실, 스카 다닐때 편하게 입을 용으로 사려고!!"
65017236,name,1,다들 무신사 세일로 뭐 샀음?,Unknown,1,72,0,2025-11-25 21:44,False,0,https://www.instiz.net/name/65017236,무신사,name,나는 치마2 니트1 머플러1 셔츠1 샀음
65016669,name,1,옷 못입는 25살 여익인데 옷때문에 너무 스트레스받아 ㅠ,Unknown,1,87,0,2025-11-25 21:13,False,0,https://www.instiz.net/name/65016669,지그재그,name,"20대초반에 싼거 입으면서 스타일 찾으라고 그러잖아
근데 나는 20대 초반부터 눈만 높았어서 싸보이는걸 입기가 너무 싫은거야 ㅠ 그래서 알바나 월급받으면 다 옷에다가 쓰고 니트나 아우터 이런거 비싼거턱턱 디자이너브랜드에서 샀는데  몇년지나고보니 막 헤지진?않앗는데  이제와서 보니 너무 내 스타일이랑 안맞아 ㅠ
스타일 잘 몰랐을때 오히려 비싼걸 턱턱 사댔어서 , 아예 안입는게 많은데 이걸 버릴수도 없고 그렇다고 ㅠ
그래서 지금은 어차피 돈도 없고 이렇게 사고 안입은 옷에만 몇백 증발되고나니까 현타와서 옷을 아예 극단적으로 안사게 됐는데.. 사도 싼거 일회성으로 사고..생전 안쓰던 지그재그 이런데서 사고 ㅠ 하니까 맘에 안들어서 또 한번입고 안입긴 매한가지임... 비싼걸 또 사자니 또 실패할까바 주저스러워서 못사겠고 돈도없고 ㅠㅠㅠ
아직 스타일 확립도 제대로 안됐는데 이럴땐 어떻게해애할까 ㅠㅠ싼걸 사서 스타일부터 찾는게맞아?"
65016300,name,1,에이블리 랄프로렌 니트 정품이야?!,Unknown,2,30,0,2025-11-25 20:53,False,0,https://www.instiz.net/name/65016300,에이블리,name,ㅈㄱㄴ
65016039,name,1,에이블리 에서 산 옷 다들 오래 입어?,Unknown,0,11,0,2025-11-25 20:30,False,0,https://www.instiz.net/name/65016039,에이블리,name,"어떤 건 요상하게 오래 가는데
아닌 건 반 년도 안돼서 다 헤지더라고
다들 잘 건져서 입낭 ..?"
65016011,name,1,디자인은 에이블리인데 소재는 무신사 같은 옷 사려면 어디 가야 하지,Unknown,11,76,0,2025-11-25 20:29,False,0,https://www.instiz.net/name/65016011,"무신사,에이블리",name,"무신사 옷들이 재질 좋고 오래 입는데 마음에 드는 디자인 건지는게 쉽지 않아 ..
에이블리는 예쁘다 예쁘다 하면서 사지만 오래 입진 못하겠더라고
역시 백화점이 답인가 ..?
블프 얼마 안 남아서 좀 지르려고 하는데 쉽지 않네"
65015810,name,1,무신사 왤케 할인율이 별로인거 같지…,Unknown,0,18,0,2025-11-25 20:11,False,0,https://www.instiz.net/name/65015810,"29CM,29cm,무신사",name,29cm보다도 별로인것 같아 할인율이 ㅜㅜ
65015411,name,1,남익들아 벨트 선물 받았는데 브랜드 아니면 별로일거같음?,Unknown,0,19,0,2025-11-25 19:35,False,0,https://www.instiz.net/name/65015411,무신사,name,"애인 선물해주려고 하는데 브랜드면 30은 기본으로 들어가는거같아서
걍 좀 적당한 무신사 패션브랜드 벨트 사줘도 괜찮나
애인은 대학생임
막학년이긴 하지만"
65013301,name,1,무신사 매장에 전화해서 재고 물어봐도 돼?,Unknown,0,9,0,2025-11-25 16:14,False,0,https://www.instiz.net/name/65013301,무신사,name,알려주나
65012539,name,1,지그재그 카톡 진짜 많이 보냄ㅋㅋㅋㅋㅋㅋ,Unknown,1,20,0,2025-11-25 15:06,False,0,https://www.instiz.net/name/65012539,지그재그,name,징하네
