number,post_id,board,category,title,author,has_image,image_count,comment_count,date,view_count,link,preview,search_keywords,content
180191643,180191643,Lp0T,자유게시판,텀블러 추천함다 택플로우 텀블러,여시,True,0,1,26.07.16,43,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC44pzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180191643&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMEBijMJwvlvVQg3QHIPKq-TB9VDc5FJkC5Pu6ycntzRBQdEho1DilHhmIaS4cgRowj61ukpyr98fbi9aPndXkZCKA7xmCDsqHj9Zj6S6bGa.pUUEsBBbkSXw2H4ImRQbow00,아침에 커피 내려 가는데 5시쯤에도 얼음 살아있어 나는 올영에서 오특으로 이만구천얼마에 샀는데 저번에 보니까 29cm 에서 3만원 초반대로 파는거 봤음 지금도 할인하는지는 모르겠슈 색깔과 디자인은 이럼,"29CM,29cm",
180191318,180191318,Lp0T,자유게시판,이거 살말 ? 무난하지? 29cm 리뷰 ㄱㅊ던데,여시,True,0,5,26.07.16,56,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC3zazzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180191318&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMEBijMJwvlvVQg3QHIPKq-TB9VDc5FJkC5Pu6ycntzRBQdEho1DilHhmIaS4cgRowj61ukpyr98fbi9aPndXkZCKA7xmCDsqHj9Zj6S6bGa.pUUEsBBbkSXw2H4ImRQbow00,5만원대야 외피가 소가죽 섞엿대,"29CM,29cm",
180191091,180191091,Lp0T,자유게시판,삼십중반 여시들 요새 옷 어디서사....,여시,False,0,19,26.07.16,175,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC3vvzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180191091&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,그냥 거지꼴롳다니고있어 막 오년전 육걸 그대로 입는중..... 지그재그 ? 에이블리? 요새 유행하는 옷 사고싶음... 스탠다드한건 꽤 있어 혹시 어디서사는지 알려주라ㅜ,"에이블리,지그재그",
180190894,180190894,Lp0T,자유게시판,여름뮤트 립 추천 박아요,여시,True,0,2,26.07.16,64,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC3skzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180190894&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBeLPesq6oHG3Hy4OR6qhzfxZ_KLyaNBYTCdvdmjv.2ImNoOsibEh9zyz9Gm9XGvjef1QCYEkX.piHW.fk4mARnyTFY3a8iDIPBF.wxAPpkeVyM6DJYA2-QgEOwwmv9QOZ,홀리카는 올영가면 테스트 가능함 얘는 멀멀템이라 은은 발색 광 죽임 무지개멘션 디바인은 요새 빠져서 직잭 으로 삼 나는 ㅠㅠ 단독으로 발라도 예쁘고 홀리카 바르고 중심만 슬쩍 발라주면 ㅈㄴ 광택감 죽여요...,"직잭,직잭일",
180190828,180190828,Lp0T,자유게시판,무신사 이씨발거 내가 다음주 월요일되면 신고함 돌았나,여시,False,0,0,26.07.16,67,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC3rgzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180190828&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMN3tb.XbvyfHxvkziWpKuDX-nxAKllWaHZoyfw3aPTVFjqxiheaBNsTRbBBHz79WceLO6S_N1__3BHZd_nqeeblowsZ6TLuFRtZ1GKONBgeda75-JcxOu1Z5.uxv6HSMIbw34p6Fy49blvCfpKRQZu50,유즈드백 옷 보냈고 검수 통과못했다고 4천원을 쳐내래 택배비 ㅇㅇㅇ 근데 신용카드 결제 안됨 무신사 머니로 결제해야됨 머니 충전하려면 최소 충전금액 2만원 이지랄 현금 결제만 받는거 신고사유 아님? 존나...,무신사,
180190209,180190209,Lp0T,자유게시판,지그재그 옷 반품 해본 여시??,여시,True,0,2,26.07.16,43,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC3hhzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180190209&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,이 카톡 오면 기사님이 오늘 온다는거야?,지그재그,
180183319,180183319,Lp0T,자유게시판,부디무드라 무신사 스탠다드 회사네...?,여시,False,0,5,26.07.16,77,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC1uZzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180183319&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMN3tb.XbvyfHxvkziWpKuDX-nxAKllWaHZoyfw3aPTVFjqxiheaBNsTRbBBHz79WceLO6S_N1__3BHZd_nqeeblowsZ6TLuFRtZ1GKONBgeda75-JcxOu1Z5.uxv6HSMIbw34p6Fy49blvCfpKRQZu50,그회사에서 만든 브랜드라네.... 무신사 스포츠?랑 같은 계열사... 쩝,무신사,
180182085,180182085,Lp0T,자유게시판,옷 이나 요즘 트렌드보려면 필수어플뭘까?,여시,False,0,8,26.07.16,47,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC1afzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180182085&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMN3tb.XbvyfHxvkziWpKuDX-nxAKllWaHZoyfw3aPTVFjqxiheaBNsTRbBBHz79WceLO6S_N1__3BHZd_nqeeblowsZ6TLuFRtZ1GKONBgeda75-JcxOu1Z5.uxv6HSMIbw34p6Fy49blvCfpKRQZu50,옷은 29cm 무신사 ? 또?있으면알려줘 나 늙크크야,"29CM,29cm,무신사",
180181475,180181475,Lp0T,자유게시판,무신사 상세페이지랑 아예 다른 색감 옷이 왔는데,여시,False,0,0,26.07.16,4,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC1Qpzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180181475&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMN3tb.XbvyfHxvkziWpKuDX-nxAKllWaHZoyfw3aPTVFjqxiheaBNsTRbBBHz79WceLO6S_N1__3BHZd_nqeeblowsZ6TLuFRtZ1GKONBgeda75-JcxOu1Z5.uxv6HSMIbw34p6Fy49blvCfpKRQZu50,반품비 내가 내야함? 상세페이지는 파스텔톤인데 내가 받은건 채도 지리는 형광민트.. 렫같아서 바로 반품 신청했는데 배송비내래.. 근데 이거 신상이라 후기도 없었고 모델컷도 ai인데 사기 아니야 사실상?ㅠ 개...,무신사,
180179921,180179921,Lp0T,자유게시판,예전엔 그래도 통통한사람도 지그재그 에서 사면 어느정도 맞게 입었는데 이젠 걍 존나 개쳐작아서 그냥 풍자되기 선택함,여시,False,0,0,26.07.16,24,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC11lzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180179921&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,그냥 전나 작고 가슴땜에 붕떠서 그런지 뱃살 ㅎㅇ 됨 어깨도 졸라 안맞음 나 키 작아서 통통하긴해도 지그재그 에서 모델샷에서 걍 적당히 하늘하늘한것들 사면 나한테도 맞았는데 이제 걍 안맞아서 포기하고 걍...,지그재그,
