number,post_id,board,category,title,author,has_image,image_count,comment_count,date,view_count,link,preview,search_keywords,content
180192560,180192560,Lp0T,자유게시판,암행 순찰차가 터널안에서 하이빔 쏘고 빵빵거렸는데 내가 차선을 바꿔주는게 맞아?,여시,False,0,4,26.07.16,35,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC4Jczzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180192560&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,"라고 판단함 상황은 터널 중간쯤 내뒤에서 엄청빵빵거리고, 하이빔 쏘고 달라붙어오더라고 약간 지그재그 로 차가 있어서 그 차가 끼어들기 할 틈이 없어보였어 내가 좀 더 앞 차쪽에 달라붙어서 차선을 변경해도...",지그재그,
180191091,180191091,Lp0T,자유게시판,삼십중반 여시들 요새 옷 어디서사....,여시,False,0,19,26.07.16,179,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC3vvzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180191091&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,그냥 거지꼴롳다니고있어 막 오년전 육걸 그대로 입는중..... 지그재그 ? 에이블리? 요새 유행하는 옷 사고싶음... 스탠다드한건 꽤 있어 혹시 어디서사는지 알려주라ㅜ,지그재그,
180190209,180190209,Lp0T,자유게시판,지그재그 옷 반품 해본 여시??,여시,True,0,2,26.07.16,44,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC3hhzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180190209&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,이 카톡 오면 기사님이 오늘 온다는거야?,지그재그,
180179921,180179921,Lp0T,자유게시판,예전엔 그래도 통통한사람도 지그재그 에서 사면 어느정도 맞게 입었는데 이젠 걍 존나 개쳐작아서 그냥 풍자되기 선택함,여시,False,0,0,26.07.16,24,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CC11lzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180179921&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,그냥 전나 작고 가슴땜에 붕떠서 그런지 뱃살 ㅎㅇ 됨 어깨도 졸라 안맞음 나 키 작아서 통통하긴해도 지그재그 에서 모델샷에서 걍 적당히 하늘하늘한것들 사면 나한테도 맞았는데 이제 걍 안맞아서 포기하고 걍...,지그재그,
180169839,180169839,Lp0T,자유게시판,에이블리 지그재그 오늘출발중에 뭐가 더 빠르지,여시,False,0,0,26.07.15,11,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CByP9zzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180169839&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,둘다 빠른가?ㅜ 체감상,지그재그,
180168985,180168985,Lp0T,자유게시판,갠적으로 무신사덥컨셉이십구센치 옷 살바에야 지그재그 삼,여시,False,0,0,26.07.15,25,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CByBNzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180168985&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,옷 질이 좀 차이나겟지만 가격이 너무 사악해 그리고 직재그가 무난?하긴 엄청 무난한편인긋,지그재그,
180160684,180160684,Lp0T,자유게시판,지그재그 애서 카카오페이머니로 결제하면 현금영수증 어케해??,여시,False,0,1,26.07.15,15,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CBw1Uzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180160684&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,등록하는게 아무데도없어가지구,지그재그,
180160144,180160144,Lp0T,자유게시판,블라우스 사려고 지그재그 들어갔는데,여시,False,0,1,26.07.15,73,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CBvsmzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180160144&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,먼 옷이 한벌에 3만원이냐 쉬인에서 기본템으로 구매함...,지그재그,
180151497,180151497,Lp0T,자유게시판,탑텐은 지그재그 에서 사야하는구먼,여시,False,0,0,26.07.15,58,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CBtdJzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180151497&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,공홈에서 샀는데 만사천원 손해봄 가슴이 쓰리다,지그재그,
180150745,180150745,Lp0T,자유게시판,지그재그 각각 다른 스토어꺼 반품 할때,여시,False,0,0,26.07.15,29,https://cafe.daum.net/_c21_/bbs_nsread?grpid=1IHuH&fldid=Lp0T&contentval=CBtRBzzzzzzzzzzzzzzzzzzzzzzzzz&datanum=180150745&searchlist_uri=%2F_c21_%2Fcafesearch&search_ctx=mXHEqj36JebiwGreGfTsfveFgDz6pTFmzA9ignoh1M5AkMeEoeYLzYGdNt9uqFaf61DPXAFl2LJLM1O_-vcCbcDl.qFPPmXwg_jpAzwhBJdo7YKErihYBpamtmNeuL5LBiXdLvrlgUV1t.vaQ.EizEwm-AfmeYOMgH4eEovqoeANcvfKMBqyMDcKxc5H9oEBwpH5l8dRQpQPumOS68dYVgJgbmQDW9Lcf8TuBWO3TcMb3.3GsNn8rlsp5imrZr1NKVS2Ci6ViZT7KTCViRj2KYUX22TmI5zM9noSwIJkJhFnqfs8w6G6Uv9EiMbTQd1TjZty5UzVFsD2Orgzj9Wvadi2CP1uLGoD,따로 담고 스토어 이름이라도 써놔야 하나..?,지그재그,
